Issue_id,Ssn,Staff_id,Isbn,Issue_date,Due_date,Notice_date,Is_returned
1,685516647,6,8523696542,2022-10-02,2022-10-23,2022-10-29,0
2,685516647,7,6422625263,2022-09-27,2022-10-18,2022-10-25,0
3,685516647,8,7288227188,2022-09-14,2022-10-07,2022-10-14,1
4,685516647,9,7355755625,2022-10-19,2022-11-10,2022-11-17,0
5,685516647,10,7355755628,2022-06-07,2022-06-30,2022-07-07,0
6,744243646,6,7492133892,2022-06-18,2022-09-18,2022-10-02,0
7,744243646,7,7492133292,2022-08-11,2022-11-10,2022-11-24,0
8,367185235,8,8498738145,2022-11-01,2022-11-22,2022-11-29,0
9,983486559,9,8648347264,2022-08-31,2022-09-21,2022-09-28,0
10,427438964,10,1254547264,2022-05-04,2022-05-25,2022-06-01,0
11,736452925,9,9854542541,2022-07-20,2022-08-11,2022-08-18,0
12,324521591,9,9278161757,2022-06-24,2022-07-16,2022-07-23,0
13,427438964,10,9278161657,2022-11-06,2022-11-27,2022-12-04,0
14,988455183,14,9855755624,2022-05-27,2022-08-24,2022-09-07,1
15,779472588,14,9568755624,2022-10-10,2022-10-31,2022-11-07,1
