Staff_id,Staff_fname,Staff_lname,Staff_type,Lib_code
1,Rafi ,Marsden,Chief Librarian,1
2,Tori ,Whelan,Departmental Associate Librarian,1
3,Hashir ,Walton,Departmental Associate Librarian,1
4,Callen ,Hobbs,Reference Librarian,1
5,Kamile ,Daly,Reference Librarian,1
6,Zofia ,Kavanagh,Check-out Staff,1
7,Fionnuala ,Millington,Check-out Staff,1
8,Alessio ,Nichols,Library Assistant,1
9,Keegan ,Williams,Library Assistant,1
10,Eman ,Salgado,Library Assistant,1
11,Emma,Watson,Departmental Associate Librarian,1
12,Michael,Thomson,Reference Librarian,1
13,Peter,Douglas,Check-out Staff,1
14,John,Ramson,Library Assistant,1
15,Hannah,Katheryn,Departmental Associate Librarian,1
