Ssn,Member_fname,Member_lname,Campus_mailing_add,Home_mailing_add,Phone,Lib_card_no,Lib_card_expiry,Is_member_active,Is_prof,Lib_code
456627292,Brenden ,Mcintyre,"P.O. Box 789, 8461 Feugiat Street, Jonesboro, AR","Ap #524-1500 Vel Av., Burlington, VT",4741788995,9293,2022-12-11,1,1,1
749959877,Buckminster ,Lewis,"5304 Sollicitudin Street, Tampa, FL","Ap #104-2337 Sit Avenue, Overland Park, KS",1515279762,7463,2019-12-20,0,1,1
685516647,Vamsi,Gunturu,"6285 Mauris Ave, Dover, DE","271-2425 Morbi Avenue, Lakewood, CO",1666966573,6674,2022-09-10,1,0,1
561771369,Cameron ,Rivera,"7279 Nec Avenue, Jackson, MS","229-6005 Enim. Avenue, Kailua, HI",4938191794,8952,2022-11-17,1,1,1
896397262,Ciaran ,Mccullough,"P.O. Box 745, 4836 Convallis Rd., Richmond, VA","Ap #581-7435 Molestie. St., Spokane, WA",5562446865,9814,2022-05-27,1,0,1
165485918,Darrel ,Myers,"1000 Id Street, Waterbury, CT","3401 Fringilla Avenue, Ketchikan, AK",9476973478,6985,2022-12-06,1,0,1
744243646,Deacon ,Wynn,"2383 Odio Av., Bozeman, MT","P.O. Box 631, 9428 Malesuada Av., Honolulu, HI",3188753665,8556,2023-04-18,1,1,1
496357233,Drake ,Gentry,"7323 Arcu Ave, Kearney, NE","5045 Aliquam Av., Columbus, OH",6851629199,6819,2022-09-12,1,0,1
228836529,Keerthi,K,"Ap #391-2250 Imperdiet Rd., South Burlington, VT","981-9786 Nam Ave, Saint Paul, MN",8382459118,3127,2022-12-04,1,0,1
168166842,Fulton ,Whitley,"Ap #188-1056 Ac Ave, Hillsboro, OR","9663 Vel St., Denver, CO",8386278838,2878,2018-02-18,0,0,1
324521591,Geraldine ,Mcintyre,"365-8424 Quisque St., Henderson, NV","3199 Vel St., Athens, GA",8347877634,6123,2022-01-16,1,0,1
912669597,Ivor ,Jenkins,"Ap #298-2382 Sed St., Augusta, GA","Ap #120-5583 Gravida. Av., San Diego, CA",9978265913,7433,2022-01-16,1,0,1
893633943,Kiara ,Knight,"P.O. Box 544, 1308 Cubilia Av., Hattiesburg, MS","Ap #780-5311 Quam. Avenue, South Burlington, VT",4118723478,8313,2022-11-19,1,0,1
361486432,Kim ,Ward,"504-7794 Enim, Rd., Honolulu, HI","Ap #183-6261 Semper Road, Mobile, AL",4334461756,6424,2023-02-23,1,0,1
883163516,Luke ,Branch,"714-9657 Aliquam Rd., Lawton, OK","1463 Non, Ave, Springfield, MO",3762378239,6874,2021-08-29,1,0,1
434253997,Chinmayee,Mappelaru,"P.O. Box 788, 9773 Sed Av., San Jose, CA","P.O. Box 585, 6923 Eleifend, Rd., Akron, OH",1873437235,5362,2023-02-25,1,0,1
367185235,Piper ,Holland,"P.O. Box 279, 592 Velit Ave, Rochester, MN","325-2099 Praesent Street, Casper, WY",9815467162,2781,2022-05-19,1,0,1
983486559,Shana ,Cannon,"P.O. Box 530, 3650 Sit Street, Akron, OH","Ap #204-4355 Consequat Rd., Erie, PA",6421378866,6133,2022-09-07,1,0,1
427438964,Stone ,Brock,"952-9083 Vehicula Street, Tuscaloosa, AL","9688 Per Rd., College, AK",9699283544,2158,2021-12-12,1,1,1
736452925,Sasidharan,Adipelli,"851-6498 Lorem St., Anchorage, AK","Ap #690-1361 Donec Road, South Portland, ME",8759689469,1697,2023-06-07,1,0,1
521897654,Wayne ,Burke,"Ap #167-4350 Lacus, Ave, Clarksville, TN","884-2499 Augue Street, Lansing, MI",9465854835,1669,2022-11-24,1,0,1
988455183,Willa,Mcgee,"658-3615 Dolor Av., Allentown, PA","170-7402 Auctor Avenue, Fayetteville, AR",7217633142,2333,2022-12-22,1,1,1
982193141,Wyatt ,Barnes,"844-8534 Arcu. Street, Eugene, OR","Ap #269-8301 In Ave, Eugene, OR",7266693694,7699,2020-03-16,0,0,1
779472588,Yoshi ,Burt,"3822 Ipsum Road, Toledo, OH","2856 Eget, Avenue, Austin, TX",9127831426,7629,2022-02-18,1,0,1
