Ssn,Phone
456627292,4741788995
749959877,1515279762
685516647,1666966573
561771369,4938191794
896397262,5562446865
165485918,9476973478
744243646,3188753665
496357233,6851629199
228836529,8382459118
168166842,8386278838
324521591,8347877634
912669597,9978265913
893633943,4118723478
361486432,4334461756
883163516,3762378239
434253997,1873437235
367185235,9815467162
983486559,6421378866
427438964,9699283544
736452925,8759689469
521897654,9465854835
988455183,7217633142
982193141,7266693694
779472588,9127831426
